Max,Min  ,STD,Kurtosis,Skewness,Class
2.367182247,1.647895997,0.100476658,4.901278268,-1.150600641,0
2.354005354,0.986028799,0.144561768,13.34991022,-1.906218163,0
2.380511633,0.943959021,0.130122437,19.2781049,-2.353210488,0
2.384801142,0.913183917,0.134595895,26.86270197,-3.320900715,0
2.383300575,0.980020929,0.122329397,19.36301039,-2.554106943,0
2.306856931,0.853712532,0.130258902,11.79285417,-1.492342486,0
2.302497989,0.918584159,0.119774437,16.28273657,-1.943098252,0
2.948777476,1.227224866,0.164439145,10.33158034,-1.422010103,0
2.280902172,1.037345782,0.107907184,10.25564788,-1.47741744,0
2.258033733,1.005908372,0.12107155,21.9418127,-2.948022586,0
2.260185223,0.923966221,0.129498982,12.84052342,-1.739618481,0
2.28919726,0.885827562,0.12978654,22.40645808,-2.819825782,0
2.289991336,0.977975768,0.108402699,11.54071831,-1.594535247,0
2.229379822,0.806002556,0.120973089,25.51067446,-3.037840929,0
2.319556286,0.982686427,0.13676471,7.399959673,-1.088150561,0
2.387683253,1.032758604,0.124450312,15.78795071,-2.055750438,0
2.363401463,0.940147142,0.129034476,19.59579606,-2.55417818,0
2.308299523,0.948396744,0.113082109,20.28955847,-2.498892693,0
2.94523148,1.206626892,0.172948862,13.3364592,-1.838583704,0
2.290270651,0.944641775,0.14522792,14.8962583,-2.221501211,0
2.345398092,0.919507243,0.124117333,20.46568786,-2.448031347,0
2.325781821,1.034260469,0.111988868,9.03015426,-1.319623726,0
2.30057255,0.924878385,0.101482874,30.55134064,-2.936832064,0
2.293685156,0.991877124,0.130343193,11.13205639,-1.631618473,0
2.321040429,0.969189209,0.11869661,15.79080405,-2.029909837,0
2.382379364,1.013175673,0.130993094,11.68030819,-1.573896816,0
2.319732201,0.950941252,0.127766924,17.75680647,-2.396347415,0
0.31951444,0.128620905,0.021113779,6.470954226,-0.831783436,0
0.330991108,0.127373939,0.022975204,6.644073676,-0.876285813,0
2.980502624,1.093544428,0.17359743,24.09073534,-3.111058189,0
0.338954611,0.140200179,0.021936028,5.27741695,-0.706591084,0
0.334441452,0.113448923,0.02142704,7.987588276,-0.945538566,0
0.330486939,0.121869493,0.022428358,5.637710696,-0.698780038,0
0.338223711,0.130818721,0.021934316,8.302329597,-1.061745636,0
0.333046206,0.131788914,0.020829105,6.25179177,-0.788403755,0
0.331817104,0.135526109,0.021647884,5.543266204,-0.677524909,0
0.331202374,0.130521562,0.021743027,4.045806802,-0.295099954,0
0.31548282,0.112302626,0.021979737,8.016009786,-1.104195268,0
2.680669543,1.122244402,0.158078647,11.63202077,-1.630876274,0
2.726386191,1.042727361,0.154269533,20.96273216,-2.60695051,0
2.907605444,2.105133364,0.135250763,3.493544774,-0.780012638,0
2.700839685,0.992086297,0.146605533,21.47365284,-2.56368397,0
2.695789095,1.060290827,0.141571898,20.05296172,-2.396249678,0
2.680225414,0.991896734,0.120951003,31.60220502,-2.944559803,0
2.669484981,1.067011739,0.148365544,14.20283849,-1.914034599,0
2.664042459,1.133410706,0.150044468,11.18940055,-1.575349914,0
2.699622142,1.060755584,0.162272352,22.0522164,-2.912217262,0
2.804217856,1.132723067,0.129907694,23.58088146,-2.528917863,0
